player_id,goals,red_cards,player_club_id,competition_id,matches
4513,0,0,467,"NL1,NLP",7
4517,0,0,"1426,467","NL1,NLP",48
4519,0,0,192,"NL1,NLP",21
4520,1,0,317,"ELQ,NL1,EL,NLP",21
4531,10,2,192,"NL1,NLP",32
4533,6,1,"132,798","NL1,NLP",99
4538,0,0,"1435,798",NL1,50
4563,1,1,234,"NL1,ELQ,NLP,CLQ,EL",72
4570,1,0,317,"NL1,ELQ,EL,NLP",14
4573,0,0,1426,"NL1,NLP",10
4582,0,0,317,"ELQ,NLP,NL1,EL",12
4592,2,0,"1039,383","GB1,FAC,CLQ,NL1,EL",50
4605,0,0,2282,"BE1,CLQ,EL",25
4607,2,0,"18,192","L1,CLQ,EL,DFB,CL,NL1,NLP",81
4624,0,0,"180,272,317","GB1,FAC,ELQ,NL1,NLP",58
4634,1,0,"306,499","NL1,ELQ,NLP,NLSC",127
4638,6,1,1269,"NL1,NLP,NLSC",94
4669,0,0,403,NL1,15
4672,8,1,"281,5,141,39","GBCS,GB1,IT1,CL,CLQ,CIT,TR1,L1,DFB",128
4673,41,0,"46,141,417","ELQ,IT1,TR1,CL,EL,FR1,CLQ",165
4676,6,0,200,"NL1,NLP,ELQ",42
4678,1,0,"6992,11127,2424,7179","UKR1,UKRP,UKRS,ELQ,EL,RU1,RUP,PO1,POCP",78
4687,30,0,"86,82,41","DFB,L1,EL",162
4691,4,0,"44,105","L1,DFB",90
4698,5,0,"336,383,306","ELQ,EL,PO1,CLQ,NL1,NLP,CL",132
4740,1,0,27,"L1,CL,DFB,DFL,KLUB",42
4742,24,1,"28643,157,3508,601,29228,2715",BE1,220
4746,0,0,15,L1,1
4750,25,1,"124,1241,511","SC1,SFA,ELQ",95
4763,1,0,5817,"DK1,DKP",10
4793,1,1,458,IT1,35
4796,5,0,"289,6894,3558,667","GB1,TR1,FR1",89
4811,9,6,969,"FRCH,FR1,CL",291
4829,0,0,5817,DK1,5
4873,1,0,1506,TR1,22
4902,23,0,589,TR1,75
5017,10,2,"1090,610,1038,86","NL1,CL,NLP,EL,NLSC,IT1,CIT,DFB,L1",271
5023,0,2,"506,583","SCI,IT1,CL,CIT,EL,FRCH,FR1",312
5072,0,0,3,"L1,DFB",16
5169,25,0,"142,1049,398,897,2425","ES1,CDR,EL,IT1,PO1",95
5245,13,1,"1083,2696","RU1,RUP,RUSS,ELQ,CLQ,CL,EL",227
5278,0,0,167,"DFB,L1",38
5281,0,0,162,FR1,1
5283,0,0,"131,162,683","ES1,FR1,GR1,CL",46
5285,10,0,"985,506,244,379","GB1,CL,FAC,GBCS,IT1,SCI,CIT,FR1,ELQ,EL",191
5286,0,0,14171,FR1,1
5293,5,0,"11,595","CL,FR1",98
5299,1,0,1158,FR1,17
5300,3,1,595,FR1,28
5303,31,0,969,"FRCH,FR1,CL",219
5308,0,0,"40,141","FR1,ELQ,EL,FRCH,TR1",178
5309,0,0,1159,FR1,23
5315,0,0,653,"GR1,GRP",10
5336,7,0,"5219,441,6676,6418,60949","GR1,GRP,ELQ,EL",294
5338,0,1,"1041,1162","FR1,EL",190
5339,2,0,"1095,40,3558","FR1,EL",56
5345,0,0,"2292,1159","TR1,FR1",31
5348,5,2,"1082,2969","FR1,CLQ,CL,EL",219
5352,0,0,931,GB1,12
5357,0,0,14171,FR1,18
5376,2,0,417,FR1,24
5399,2,0,3911,FR1,31
5404,18,2,"1049,131,336","ES1,CL,EL,CDR,USC,SUC,KLUB,PO1,CLQ,POCP,POSU",253
5406,4,2,"1082,1147,1159","FR1,CLQ,CL",75
5418,1,0,265,"CLQ,EL,GR1,GRP",19
5422,7,1,5,"CL,IT1,CIT,CLQ",90
5430,0,1,855,"FR1,FRCH,EL",91
5431,2,0,415,FR1,58
5438,2,0,2672,GR1,19
5439,4,2,128,"GR1,GRP,ELQ",54
5444,0,1,583,FR1,1
5451,4,2,1162,FR1,75
5452,1,0,2696,RU1,15
5457,15,0,"1423,1041,595","FR1,CLQ,EL,ELQ",132
5461,10,0,"449,347","ELQ,TR1,EL,FR1",57
5470,0,0,"3060,1091,2293,126,524,6","ELQ,GR1,GRP,TR1",137
5474,1,0,583,"CL,FR1,FRCH",27
5477,6,2,244,"ELQ,FR1,EL,CL",123
5486,5,1,"1049,12","ES1,EL,IT1,CL,CIT",77
5495,19,1,"969,2381","FRCH,FR1,CL,TR1",78
5501,0,0,458,"CIT,IT1",5
5507,1,1,"5,800","IT1,CL,CIT",44
5509,0,0,"669,465","CLQ,ELQ,SFA,SC1",6
5513,1,0,"1084,162,40","ES1,CLQ,CL,CDR,FR1,EL,ELQ",181
5516,1,0,6418,"GR1,GRP",11
5518,4,0,"1085,653","PO1,GR1,GRP",21
5521,17,0,"1423,3558",FR1,69
5539,0,0,969,"FR1,CL",17
5543,4,1,2969,FR1,43
5544,6,0,995,FR1,64
5562,0,0,1465,"PO1,POCP",8
5566,0,0,347,FR1,3
5574,40,1,"133,403","NL1,NLP",100
5576,0,2,1158,FR1,58
5578,0,1,"1423,172","FR1,BE1,ELQ",247
5586,0,0,21957,GR1,11
5588,3,0,"418,631,5,265","CL,ES1,CDR,GB1,FAC,IT1,GR1,GRP",78
5592,0,0,969,FR1,8
5597,1,0,1095,FR1,34
5614,1,1,750,FR1,49
5622,0,0,14171,FR1,19
5627,2,1,14171,FR1,23
5635,0,0,"40,1147","FR1,EL",20
5636,1,0,"533,200","DFB,L1,NL1",38
5639,4,0,"1423,1162",FR1,29
5645,4,0,244,"ELQ,FR1,EL,CL",62
5648,7,0,"273,589","FR1,TR1",92
5652,2,1,984,"GB1,FAC",22
5658,0,0,"631,11","GBCS,GB1,USC,CL,KLUB,EL,FAC",254
5664,1,1,1158,FR1,13
5667,7,1,"1159,1506","FR1,TR1",44
