player_id,name,position,sub_position,country_of_citizenship,image_url,goals,assists,red_cards,player_club_id
531350,Mario Curic,Midfield,Defensive Midfield,Croatia,https://img.a.transfermarkt.technology/portrait/header/531350-1662666854.png?lm=1,2.0,1.0,0.0,1.0
531373,Christian Joel,Goalkeeper,Goalkeeper,Cuba,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
531404,Marc Aguado,Midfield,Defensive Midfield,Spain,https://img.a.transfermarkt.technology/portrait/header/531404-1709050897.jpg?lm=1,1.0,3.0,0.0,1.0
531411,Esteban Orozco,Defender,Centre-Back,Equatorial Guinea,https://img.a.transfermarkt.technology/portrait/header/531411-1753432608.png?lm=1,0.0,0.0,0.0,0.0
531413,Alejandro Meléndez,Midfield,Central Midfield,Spain,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,1.0,0.0,0.0,1.0
531437,Laurent Kissiedou,Midfield,Central Midfield,Cote d'Ivoire,https://img.a.transfermarkt.technology/portrait/header/531437-1679145582.jpg?lm=1,0.0,0.0,0.0,0.0
531450,Willy Semedo,Attack,Left Winger,Cape Verde,https://img.a.transfermarkt.technology/portrait/header/531450-1732288650.jpg?lm=1,4.0,1.0,0.0,2.0
531456,Hicham El Hamdaoui,Attack,Centre-Forward,France,https://img.a.transfermarkt.technology/portrait/header/531456-1558135188.png?lm=1,2.0,0.0,0.0,1.0
531461,Armstrong Oko-Flex,Attack,Left Winger,Ireland,https://img.a.transfermarkt.technology/portrait/header/531461-1770410411.png?lm=1,0.0,0.0,0.0,2.0
531538,Jędrzej Grobelny,Goalkeeper,Goalkeeper,Poland,https://img.a.transfermarkt.technology/portrait/header/531538-1753989307.jpg?lm=1,0.0,0.0,0.0,0.0
531599,Ervin Omic,Midfield,Defensive Midfield,Austria,https://img.a.transfermarkt.technology/portrait/header/531599-1726596104.jpg?lm=1,0.0,0.0,0.0,0.0
531604,Thomas Schiestl,Midfield,Left Midfield,Austria,https://img.a.transfermarkt.technology/portrait/header/531604-1727527160.jpg?lm=1,0.0,0.0,0.0,0.0
531634,Alexander Briedl,Midfield,Defensive Midfield,Austria,https://img.a.transfermarkt.technology/portrait/header/531634-1755081068.jpg?lm=1,0.0,0.0,0.0,0.0
531637,Jonas Krumrey,Goalkeeper,Goalkeeper,Germany,https://img.a.transfermarkt.technology/portrait/header/531637-1756808724.jpg?lm=1,0.0,0.0,0.0,1.0
531640,Lukas Ibertsberger,Defender,Left-Back,Austria,https://img.a.transfermarkt.technology/portrait/header/531640-1756992821.jpg?lm=1,0.0,0.0,0.0,0.0
531674,Rúben Rodrigues,Midfield,Attacking Midfield,Portugal,https://img.a.transfermarkt.technology/portrait/header/531674-1723644294.jpg?lm=1,0.0,0.0,0.0,1.0
531677,Di'Shon Bernard,Defender,Centre-Back,England,https://img.a.transfermarkt.technology/portrait/header/531677-1595947349.jpg?lm=1,0.0,0.0,0.0,1.0
531678,D'Mani Mellor,Attack,Centre-Forward,England,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,1.0
531679,Ethan Laird,Defender,Right-Back,England,https://img.a.transfermarkt.technology/portrait/header/531679-1544622132.jpg?lm=1,0.0,0.0,0.0,1.0
531712,Youri Schoonderwaldt,Goalkeeper,Goalkeeper,Netherlands,https://img.a.transfermarkt.technology/portrait/header/531712-1767705127.JPG?lm=1,0.0,0.0,0.0,1.0
